,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Banda ancha fija,Dial up,Mbps (Media de bajada),Total_conexiones
286,2019,4,Tierra Del Fuego,13261,26821,0,0.0,310.0,40101,291,7,40392
287,2019,4,Tucumán,146985,11012,39574,725.0,348.0,198621,23,30,198644
288,2019,3,Buenos Aires,1277249,2144956,425386,85.572,27.07,3950114,10119,26,3960233
289,2019,3,Capital Federal,300288,1080973,24900,3.895,31.155,1437734,3477,39,1441211
290,2019,3,Catamarca,24349,5543,13,244.0,2.251,32391,9,9,32400
291,2019,3,Chaco,50416,49156,8063,5.224,1.592,114438,13,20,114451
292,2019,3,Chubut,37298,27090,1917,15.149,7.551,87481,1524,7,89005
293,2019,3,Córdoba,307780,399231,30064,37.277,8.701,782946,107,23,783053
294,2019,3,Corrientes,53344,50230,1888,2.458,4.839,112749,10,17,112759
295,2019,3,Entre Ríos,94947,96305,12888,18.53,15.432,238057,45,15,238102
296,2019,3,Formosa,21777,8359,1476,14.292,162.0,46066,0,13,46066
297,2019,3,Jujuy,33110,35742,274,812.0,16.638,86575,1,12,86576
298,2019,3,La Pampa,19469,52941,4994,11.462,1.962,90559,269,6,90828
299,2019,3,La Rioja,14390,34984,11,251.0,41.0,49659,18,8,49677
300,2019,3,Mendoza,148640,54312,6865,12.975,1.545,223015,1322,6,224337
301,2019,3,Misiones,54493,65872,829,419.0,12.27,133883,0,18,133883
302,2019,3,Neuquén,43347,60484,5560,13.512,2.518,123435,1986,24,125421
303,2019,3,Río Negro,67478,37425,9739,10.806,18.847,143391,904,16,144295
304,2019,3,Salta,65799,74329,733,1.58,9.394,151834,1,15,151835
305,2019,3,San Juan,51670,7425,1227,7.241,5.535,72535,563,6,73098
306,2019,3,San Luis,13037,10561,350,62.286,36.466,122409,291,20,122700
307,2019,3,Santa Cruz,10663,17056,969,6.544,2.738,37642,328,5,37970
308,2019,3,Santa Fe,319396,377171,18690,24.269,21.408,760706,228,18,760934
309,2019,3,Santiago Del Estero,24556,71198,219,2.759,34.4,133130,2,9,133132
310,2019,3,Tierra Del Fuego,19790,26659,651,0.0,1.487,48043,544,7,48587
311,2019,3,Tucumán,150918,12089,116,684.0,324.0,164099,32,19,164131
312,2019,2,Buenos Aires,1284658,2079900,382971,75.24,32.929,3845594,10104,22,3855698
313,2019,2,Capital Federal,309937,1061358,36082,3.962,4.281,1412177,3443,30,1415620
314,2019,2,Catamarca,25682,5543,13,146.0,2.251,33626,9,9,33635
315,2019,2,Chaco,50765,47448,4203,4.727,1.591,108721,13,16,108734
316,2019,2,Chubut,37313,26338,1917,14.443,7.545,86038,1518,6,87556
317,2019,2,Córdoba,314768,388254,23023,33.847,15.236,775023,105,18,775128
318,2019,2,Corrientes,53835,47431,1701,2.444,6.138,111539,10,14,111549
319,2019,2,Entre Ríos,97081,91081,12764,17.369,17.529,235780,44,12,235824
320,2019,2,Formosa,21916,8686,1382,14.292,162.0,46438,0,11,46438
321,2019,2,Jujuy,33022,30742,274,812.0,21.857,86706,1,12,86707
322,2019,2,La Pampa,19471,52101,4840,10.789,3.004,89937,268,5,90205
323,2019,2,La Rioja,15014,34984,11,251.0,41.0,50283,18,8,50301
324,2019,2,Mendoza,148673,54027,6865,12.748,1.544,222535,1322,6,223857
325,2019,2,Misiones,55373,64272,543,421.0,12.269,132878,0,14,132878
326,2019,2,Neuquén,43420,59021,4983,12.792,2.737,120954,1999,17,122953
327,2019,2,Río Negro,67841,36527,4037,10.485,19.657,137632,915,12,138547
328,2019,2,Salta,68827,62343,725,1.21,9.463,142567,1,13,142568
329,2019,2,San Juan,51680,7425,1174,2.87,6.876,69461,564,6,70025
330,2019,2,San Luis,11130,10298,347,57.242,38.368,117094,291,20,117385
331,2019,2,Santa Cruz,10665,10257,379,6.514,2.735,30225,325,6,30550
332,2019,2,Santa Fe,325420,355140,18236,21.98,22.708,743258,226,15,743484
